metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
clustering,random_node,0.05,0.020954598370197905,0.47748415246562936,-1.0,0.52,150.0,0,200,301
assortativity,random_node,0.05,-0.08859735749129188,-0.016103565489397464,-1.0,0.22,100.0,0,200,301
avg_path,random_node,0.05,3.3919712140175218,4.240294117647059,-1.0,0.5878378378378378,148.0,0,200,301
modularity,random_node,0.05,0.38655326217215297,0.64886496875,-1.0,0.14666666666666667,150.0,0,200,301
clustering,random_node,0.1,0.020954598370197905,0.47748415246562936,-1.0,0.02666666666666667,150.0,0,200,301
assortativity,random_node,0.1,-0.08859735749129188,-0.016103565489397464,-1.0,0.040268456375838924,149.0,0,200,301
avg_path,random_node,0.1,3.3919712140175218,4.240294117647059,-1.0,0.62,150.0,0,200,301
modularity,random_node,0.1,0.38655326217215297,0.64886496875,-1.0,0.04666666666666667,150.0,0,200,301
clustering,random_node,0.2,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,random_node,0.2,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,random_node,0.2,3.3919712140175218,4.240294117647059,-1.0,0.26,150.0,0,200,301
modularity,random_node,0.2,0.38655326217215297,0.64886496875,-1.0,0.013333333333333334,150.0,0,200,301
clustering,random_node,0.3,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,random_node,0.3,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,random_node,0.3,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,random_node,0.3,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,snowball,0.05,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,snowball,0.05,-0.08859735749129188,-0.016103565489397464,-1.0,0.08,150.0,0,200,301
avg_path,snowball,0.05,3.3919712140175218,4.240294117647059,-1.0,0.8666666666666667,150.0,0,200,301
modularity,snowball,0.05,0.38655326217215297,0.64886496875,-1.0,0.013333333333333334,150.0,0,200,301
clustering,snowball,0.1,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,snowball,0.1,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,snowball,0.1,3.3919712140175218,4.240294117647059,-1.0,0.06,150.0,0,200,301
modularity,snowball,0.1,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,snowball,0.2,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,snowball,0.2,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,snowball,0.2,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,snowball,0.2,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,snowball,0.3,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,snowball,0.3,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,snowball,0.3,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,snowball,0.3,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,degree_weighted,0.05,0.020954598370197905,0.47748415246562936,-1.0,0.5466666666666666,150.0,0,200,301
assortativity,degree_weighted,0.05,-0.08859735749129188,-0.016103565489397464,-1.0,0.2366412213740458,131.0,0,200,301
avg_path,degree_weighted,0.05,3.3919712140175218,4.240294117647059,-1.0,0.9866666666666667,150.0,0,200,301
modularity,degree_weighted,0.05,0.38655326217215297,0.64886496875,-1.0,0.02666666666666667,150.0,0,200,301
clustering,degree_weighted,0.1,0.020954598370197905,0.47748415246562936,-1.0,0.02,150.0,0,200,301
assortativity,degree_weighted,0.1,-0.08859735749129188,-0.016103565489397464,-1.0,0.006666666666666667,150.0,0,200,301
avg_path,degree_weighted,0.1,3.3919712140175218,4.240294117647059,-1.0,0.94,150.0,0,200,301
modularity,degree_weighted,0.1,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,degree_weighted,0.2,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,degree_weighted,0.2,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,degree_weighted,0.2,3.3919712140175218,4.240294117647059,-1.0,0.04,150.0,0,200,301
modularity,degree_weighted,0.2,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,degree_weighted,0.3,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,degree_weighted,0.3,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,degree_weighted,0.3,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,degree_weighted,0.3,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,edge_uniform,0.05,0.020954598370197905,0.47748415246562936,-1.0,0.09333333333333334,150.0,0,200,301
assortativity,edge_uniform,0.05,-0.08859735749129188,-0.016103565489397464,-1.0,0.013333333333333334,150.0,0,200,301
avg_path,edge_uniform,0.05,3.3919712140175218,4.240294117647059,-1.0,0.98,150.0,0,200,301
modularity,edge_uniform,0.05,0.38655326217215297,0.64886496875,-1.0,0.02,150.0,0,200,301
clustering,edge_uniform,0.1,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,edge_uniform,0.1,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,edge_uniform,0.1,3.3919712140175218,4.240294117647059,-1.0,0.7933333333333333,150.0,0,200,301
modularity,edge_uniform,0.1,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,edge_uniform,0.2,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,edge_uniform,0.2,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,edge_uniform,0.2,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,edge_uniform,0.2,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,edge_uniform,0.3,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
