metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_type,graph_id,graph_seed
clustering,random_node,0.05,0.00966877645322875,0.01,0.03425348542164635,10.341500704146048,10.341557431795113,ER,0,1000
assortativity,random_node,0.05,0.014156733620518957,-0.19570933408353713,-14.82342254270803,20.965113350679804,25.676250382143362,ER,0,1000
avg_path,random_node,0.05,3.442722152690864,1.5035952380952384,-0.5632538047911247,0.11090133011896783,0.574067899846207,ER,0,1000
modularity,random_node,0.05,0.318923262598783,0.7446257839031017,1.334807574172763,0.2839080649182324,1.3646666440543609,ER,0,1000
clustering,random_node,0.1,0.00966877645322875,0.009268408085058471,-0.04140409761350744,3.544689399428606,3.5449312035243676,ER,0,1000
assortativity,random_node,0.1,0.014156733620518957,-0.05962377707082239,-5.211322141589842,12.724977306479625,13.750742740443005,ER,0,1000
avg_path,random_node,0.1,3.442722152690864,2.9597037328516045,-0.1403012668798906,0.2520615331299415,0.2884778361883611,ER,0,1000
modularity,random_node,0.1,0.318923262598783,0.8542149102694628,1.6784287382490368,0.13850981031918408,1.6841341980183497,ER,0,1000
clustering,random_node,0.2,0.00966877645322875,0.009269995503410117,-0.04123993473349424,1.2123471183965628,1.21304833691872,ER,0,1000
assortativity,random_node,0.2,0.014156733620518957,-0.018720511778836435,-2.322211045961908,6.0744507170380215,6.503200416388167,ER,0,1000
avg_path,random_node,0.2,3.442722152690864,7.6697734269423155,1.227822013787995,0.37573797149534016,1.2840272274238738,ER,0,1000
modularity,random_node,0.2,0.318923262598783,0.7872917300724732,1.4685883841422027,0.09868345869541564,1.4719002232004368,ER,0,1000
clustering,random_node,0.3,0.00966877645322875,0.010646790553375052,0.10114133505327746,0.7028075904910699,0.7100479412745471,ER,0,1000
assortativity,random_node,0.3,0.014156733620518957,-0.01387886145051525,-1.9802318522508373,4.646178992356765,5.050573969133222,ER,0,1000
avg_path,random_node,0.3,3.442722152690864,5.954779441842032,0.7296715936010483,0.12638160747964136,0.7405355799807539,ER,0,1000
modularity,random_node,0.3,0.318923262598783,0.6818041044923382,1.137827642640256,0.09276754337998873,1.1416030665082502,ER,0,1000
